Floor Area (ft^2) ,ENERGY_STAR_Score,SiteEUI,Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Total GHG Emissions (MtCO2e)
"262,125",85,51.6,138.4,51.5,136.9,966.4
"70,769",,37.1,72.3,40.1,75.4,171.4
"42,890",92,39.7,94.5,42.8,97.8,121.2
"120,971",94,32.1,99.5,32.1,99.5,315.4
"146,134",96,31.8,95.3,32.8,96.3,370
"13,303",62,27.6,82.4,27.8,81.5,29.2
"15,856",,10.2,32.1,9.9,31,13.2
"27,620",,46.7,116.9,53.2,123.7,94
"40,858",,35.5,79,40.3,85.1,100.2
"247,617",79,41.9,128.1,42.5,128.8,833.8
"253,975",86,51.7,162.3,50.3,158,1070.1
"912,400",63,70.5,186.5,70.5,186.5,4811.2
"41,622",92,28.8,76.2,29.6,77.1,89.6
"50,993",94,36.4,74.3,39.5,78.5,123.5
"115,749",46,104.6,199.8,103.5,196.3,784.6
"23,215",,29.4,64,30.6,65.3,46.7
"97,000",85,21.8,68.6,21.1,66.2,172.7
"202,500",60,93,165.5,92,162.4,1186.9
"66,282",,43.5,126.3,43.5,126.3,225.8
"384,169",,285.9,897.7,285.9,897.7,292.8
"78,024",15,135,289.6,145.4,300.5,422.6
"271,387",19,145.1,264.1,143.3,258.4,2772.9
"29,641",,16.1,47.1,16.1,47.1,38.1
"106,577",58,85.5,193.1,83.6,187.3,661.9
"26,904",24,14.1,18.2,19.1,23.4,21.4
"41,564",60,61.2,114,61.8,115.9,131.8
"11,500",86,27.6,77.1,29.2,78.7,24.4
"1,964,250",45,68.8,138.1,69.5,137.4,
"18,990",14,178.8,550.3,155.2,476.2,274
"618,958",58,77.8,166.1,77.8,166.1,3143.2
"135,358",97,26.9,82.3,26.7,81.3,292.7
"24,800",,32.9,103.3,32.9,103.3,66.5
"17,800",42,44.3,139,42.6,133.8,64.2
"64,287",73,48.3,151.7,48.3,151.7,253.3
"53,715",80,67.4,164.7,70.5,165.2,260.9
"293,837",100,13.7,31.8,16.4,35,303.1
"65,692",27,104.2,223.2,101.1,213.6,429.9
"30,500",100,60.9,91.1,63.6,93.9,110
"83,971",90,74.3,128.3,76.7,130.8,259.3
